ChemicalName,CAS,Upper,Median,Lower
Allura red c.i.16035,25956-17-6,6.77,,
Carminic acid,1260-17-9,7.39E-03,,
Fd&c green no. 3,2353-45-9,1.40E-04,,
Fd&c yellow 6,2783-94-0,12.1,,
