ChemicalName,CAS,BioactiveConcentration
Allura red c.i.16035,25956-17-6,11.58
Carminic acid,1260-17-9,4.365
Fd&c green no. 3,2353-45-9,5.998
Fd&c yellow 6,2783-94-0,12.59
